job_id,file_path,file_name,hypothesis_vuln_type,hypothesis_target_function,hypothesis_explanation,tool_call_json,vulnerability_type,target_function,is_vulnerable,evidence,input_hex,code_line,time,validation_status,remark
38da49d2da5e473c89bb814be9767a46,C:\Users\marko\PycharmProjects\context\testset\ovm.c,ovm.c,heap_overflow,main,"strcpy(a,argv[1]) etc into malloc(32) chunks then freed; metadata corruption","{""target_path"":""ovm.c"",""target_function"":""main"",""vulnerability_type"":""heap_overflow"",""function_args"":[{""type"":""concrete"",""value"":4},{""type"":""pointer"",""size"":64}],""structs"":[]}",heap_overflow,main,true,Canary at 0x3000024 symbolic; heap chunk overflow via argv into malloc(32),arg_0=00000000000000000000f0ffffffffff...,20,4.1,vuln_found,Heap Overflow confirmed
594f7c021b31450da163fb229f971376,C:\Users\marko\PycharmProjects\context\testset\swp.c,swp.c,format_string,vuln,"sprintf(buffer,string) with string=argv[1] user-controlled format","{""target_path"":""swp.c"",""target_function"":""vuln"",""vulnerability_type"":""format_string"",""function_args"":[{""type"":""pointer"",""size"":96}],""structs"":[]}",format_string,vuln,true,Format string content symbolic/user-controlled; allows %x/%s leak and %n write,arg_0=<all-zero len=96>,13,0.4,vuln_found,Format String confirmed
6375dd023287472aa4aefe09d05407e3,C:\Users\marko\PycharmProjects\context\testset\dzb.c,dzb.c,format_string,vuln,printf(string) with string=argv[1] user-controlled format,"{""target_path"":""dzb.c"",""target_function"":""vuln"",""vulnerability_type"":""format_string"",""function_args"":[{""type"":""pointer"",""size"":64}],""structs"":[]}",format_string,vuln,true,Format string content symbolic/user-controlled; allows %x/%s leak and %n write,arg_0=<all-zero len=64>,11,0.73,vuln_found,Format String confirmed
040b2ce16db3478e8db4a6009ba8538b,C:\Users\marko\PycharmProjects\context\testset\hkv.c,hkv.c,format_string,vuln,printf(buffer) with buffer from fgets(stdin) user-controlled format,"{""target_path"":""hkv.c"",""target_function"":""vuln"",""vulnerability_type"":""format_string"",""function_args"":[],""structs"":[]}",format_string,vuln,true,Format string content symbolic/user-controlled; %x/%s leak and %n write,stdin=f5f5f5f5f5f5f5f5...,20,0.79,vuln_found,Format String confirmed
60a70f44dd2a4a898954631d847bccf7,C:\Users\marko\PycharmProjects\context\testset\tqm.c,tqm.c,heap_overflow,write_buffer,"scanf(%s,input_data) unbounded into malloc(5); overflows into safe_var","{""target_path"":""tqm.c"",""target_function"":""write_buffer"",""vulnerability_type"":""heap_overflow"",""function_args"":[],""structs"":[]}",heap_overflow,write_buffer,true,Canary at 0x3000009 symbolic; unbounded scanf overflows 5-byte heap chunk,scanf_4B_38=00000002,49,1.19,vuln_found,Heap Overflow confirmed
da18c9d6d33348ba9290db992b8b04b5,C:\Users\marko\PycharmProjects\context\testset\qxz.c,qxz.c,stack_overflow,main,gets(buffer) into buffer[64] with adjacent modified var,"{""target_path"":""qxz.c"",""target_function"":""main"",""vulnerability_type"":""stack_overflow"",""function_args"":[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":16}],""structs"":[]}",stack_overflow,main,true,Unconstrained state with symbolic RIP via gets() on stdin,stdin=...1c301a28b49106c1...,11,1.16,vuln_found,Stack Overflow confirmed
907c6e85af434310a65a549a3015cf42,C:\Users\marko\PycharmProjects\context\testset\pyr.c,pyr.c,heap_overflow,write_buffer,"scanf(%s,input_data) unbounded into malloc(5); overflows into safe_var","{""target_path"":""pyr.c"",""target_function"":""write_buffer"",""vulnerability_type"":""heap_overflow"",""function_args"":[],""structs"":[]}",heap_overflow,write_buffer,true,Canary at 0x3000009 symbolic; unbounded scanf overflows 5-byte heap chunk,scanf_4B_35=00000002,48,1.2,vuln_found,Heap Overflow confirmed
88da4bd7fd564342b0c36f051bf33326,C:\Users\marko\PycharmProjects\context\testset\ejk.c,ejk.c,heap_overflow,write_buffer,"scanf(%s,input_data) unbounded into malloc(5); overflows into x (fp in check_win)","{""target_path"":""ejk.c"",""target_function"":""write_buffer"",""vulnerability_type"":""heap_overflow"",""function_args"":[],""structs"":[]}",heap_overflow,write_buffer,true,Canary at 0x3000009 symbolic; unbounded scanf overflows 5-byte heap chunk,scanf_4B_27=00000002,42,1.13,vuln_found,Heap Overflow confirmed
3f1011643228443b9c1ac1b7ec75cd86,C:\Users\marko\PycharmProjects\context\testset\ivp.c,ivp.c,heap_overflow,alloc_object,"malloc(size) user-controlled then scanf(%s,alloc) unbounded","{""target_path"":""ivp.c"",""target_function"":""alloc_object"",""vulnerability_type"":""heap_overflow"",""function_args"":[],""structs"":[{""name"":""x"",""location"":""heap"",""size"":35,""fields"":[{""name"":""a"",""size"":10},{""name"":""b"",""size"":10},{""name"":""c"",""size"":10,""is_input"":true},{""name"":""flag"",""size"":5,""is_critical"":true}]}]}",heap_overflow,alloc_object,true,Canary at 0x300012f symbolic; unbounded scanf into user-sized heap chunk,scanf_4B_24=00000002,57,1.26,vuln_found,Heap Overflow confirmed
a673d06cb1fc483aaa45b11d81b9cc71,C:\Users\marko\PycharmProjects\context\testset\sdt.c,sdt.c,stack_overflow,vuln,"strcpy(buf2,input) into buf2[16] unbounded","{""target_path"":""sdt.c"",""target_function"":""vuln"",""vulnerability_type"":""stack_overflow"",""function_args"":[{""type"":""pointer"",""size"":48}],""structs"":[]}",stack_overflow,vuln,true,Unconstrained state with symbolic RIP; strcpy overflow of buf2[16],arg_0=08800108200840028002100210104020...,18,4.32,vuln_found,Stack Overflow confirmed
0f387df5b6da48b68d8542c6db663257,C:\Users\marko\PycharmProjects\context\testset\sdt.c,sdt.c,stack_overflow,main,gets(buf1) into buf1[100] unbounded overwrites return address,"{""target_path"":""sdt.c"",""target_function"":""main"",""vulnerability_type"":""stack_overflow"",""function_args"":[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":16}],""structs"":[]}",stack_overflow,main,true,Unconstrained state with symbolic RIP via gets() on stdin,stdin=40040240080402100840...,40,7.34,vuln_found,Stack Overflow confirmed
ff603560ea2c43f389237a1b3f1d57b5,C:\Users\marko\PycharmProjects\context\testset\fvl.c,fvl.c,format_string,serve_patrick,printf(choice1) with menu-matched input containing format specifiers (Gr%114d_Cheese),"{""target_path"":""fvl.c"",""target_function"":""serve_patrick"",""vulnerability_type"":""format_string"",""function_args"":[],""structs"":[]}",format_string,serve_patrick,true,Format string content symbolic + unconstrained RIP; input matches Breakf@st_Burger/Gr%114d_Cheese,scanf_512B_32=...7265677275425f747340666b61657242,68,4.69,vuln_found,Format String confirmed
de4cd4426c66430b98c6db686496623c,C:\Users\marko\PycharmProjects\context\testset\fvl.c,fvl.c,format_string,serve_bob,printf(choice2) with menu-matched input containing format specifiers (Pe%to_Portobello),"{""target_path"":""fvl.c"",""target_function"":""serve_bob"",""vulnerability_type"":""format_string"",""function_args"":[],""structs"":[]}",format_string,serve_bob,true,Format string content symbolic + unconstrained RIP; input matches Pe%to_Portobello,scanf_512B_13=...6f6c6c65626f74726f505f6f74256550,98,11.58,vuln_found,Format String confirmed
bbdf4e1725ca4a41814125fd2f2f0bd7,C:\Users\marko\PycharmProjects\context\testset\hkn.c,hkn.c,format_string,main,printf(buf) with buf from scanf user-controlled format,"{""target_path"":""hkn.c"",""target_function"":""main"",""vulnerability_type"":""format_string"",""function_args"":[],""structs"":[]}",format_string,main,true,Format string content symbolic/user-controlled; %x/%s leak and %n write,scanf_8B_36=<all-zero len=8>,36,3.04,vuln_found,Format String confirmed
daee13ba2d8e4c07b50e7f0578a7f8ad,C:\Users\marko\PycharmProjects\context\testset\tob.c,tob.c,format_string,main,printf(buf) with buf from scanf user-controlled format,"{""target_path"":""tob.c"",""target_function"":""main"",""vulnerability_type"":""format_string"",""function_args"":[],""structs"":[]}",format_string,main,true,Format string content symbolic/user-controlled; %x/%s leak and %n write,scanf_8B_15=<all-zero len=8>,14,0.67,vuln_found,Format String confirmed
59c1bbd341ee472182f709b6eea0bcbf,C:\Users\marko\PycharmProjects\context\testset\elk.c,elk.c,stack_overflow,main,"read(0,buf,128) into buf[32] overflows stack","{""target_path"":""elk.c"",""target_function"":""main"",""vulnerability_type"":""stack_overflow"",""function_args"":[],""structs"":[]}",stack_overflow,main,true,Unconstrained state with symbolic RIP; read(128) into buf[32],stdin=...e2089007927ac113...,28,1.64,vuln_found,Stack Overflow confirmed
9775d3aaaf3e49559acc3c759dcffc55,C:\Users\marko\PycharmProjects\context\testset\isp.c,isp.c,stack_overflow,main,"scanf(%24s,&buf) into buf[20] = 25 bytes overwrites adjacent val","{""target_path"":""isp.c"",""target_function"":""main"",""vulnerability_type"":""stack_overflow"",""function_args"":[],""structs"":[]}",none,main,false,Validator found no stack overflow reaching control flow (5-byte overflow hits local val only),n/a,11,0.75,no_vuln_found,No vulnerability found
d78ec291b4034202bd21ff5651606e00,C:\Users\marko\PycharmProjects\context\testset\sbq.c,sbq.c,use_after_free,main,free(victim) then *(size_t**)victim = ... writes through freed pointer,"{""target_path"":""sbq.c"",""target_function"":""main"",""vulnerability_type"":""use_after_free"",""function_args"":[],""structs"":[]}",none,main,false,"Validator found no UAF (self-contained tcache demo, no symbolic input drives detection)",n/a,35,0.69,no_vuln_found,No vulnerability found
4e3d8e98d3c24d75ac1561e2d71f6701,C:\Users\marko\PycharmProjects\context\testset\wgs.c,wgs.c,format_string,printbuffer,printf(string) in printbuffer with user-controlled format,"{""target_path"":""wgs.c"",""target_function"":""printbuffer"",""vulnerability_type"":""format_string"",""function_args"":[{""type"":""pointer"",""size"":64}],""structs"":[]}",format_string,printbuffer,true,Format string content symbolic/user-controlled; %x/%s leak and %n write,stdin=f5f5f5f5f5f5f5f5...,10,0.84,vuln_found,Format String confirmed
7c2e966e5f514aff90690c593728f0b8,C:\Users\marko\PycharmProjects\context\testset\fnc.c,fnc.c,format_string,vuln,printf(buffer) with buffer from fgets(stdin) user-controlled format,"{""target_path"":""fnc.c"",""target_function"":""vuln"",""vulnerability_type"":""format_string"",""function_args"":[],""structs"":[]}",format_string,vuln,true,Format string content symbolic/user-controlled; %x/%s leak and %n write,stdin=f5f5f5f5f5f5f5f5...,13,0.73,vuln_found,Format String confirmed
de7bace985f3418bb3aa47cc1cff501d,C:\Users\marko\PycharmProjects\context\testset\pmz.c,pmz.c,format_string,main,printf(buf) with buf from fgets(stdin) user-controlled format,"{""target_path"":""pmz.c"",""target_function"":""main"",""vulnerability_type"":""format_string"",""function_args"":[],""structs"":[]}",none,main,false,Validator reported no format string in main,n/a,26,0.45,no_vuln_found,No vulnerability found
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,15.7k tokens,,,,,,,,,,,,,,
