file_name,original,Vulnerability,is_vulnerable,code_line,exp_target_function,function_head,exp_args,exp_structs,remark
rhl.c,,safe,false,,,,,,Save variant of fnc.c (protostar/format_two.c)
wgs.c,protostar/format_three.c,format_string,true,10,,,,,
ztp.c,,safe,false,,,,,,Save variant of wgs.c (protostar/format_three.c)
hkv.c,protostar/format_four.c,format_string,true,20,,,,,
nxd.c,,safe,false,,,,,,Save variant of hkv.c (protostar/format_four.c)
tqm.c,cylab_academy/heap_0.c,heap_overflow,true,63,,,,,
gbo.c,,safe,false,,,,,,Save variant of tqm.c (cylab_academy/heap_0.c)
pyr.c,cylab_academy/heap_1.c,heap_overflow,true,63,,,,,
cwl.c,,safe,false,,,,,,Save variant of pyr.c (cylab_academy/heap_1.c)
ejk.c,cylab_academy/heap_2.c,heap_overflow,true,44,,,,,
usz.c,,safe,false,,,,,,Save variant of ejk.c (cylab_academy/heap_2.c)
ivp.c,cylab_academy/heap_3.c,heap_overflow,true,62,,,,,
ahm.c,,safe,false,,,,,,Save variant of ivp.c (cylab_academy/heap_3.c)
sdt.c,cylab_academy/buffer_overflow_0.c,stack_overflow,true,"18, 40",,,,,2 vulnerabilities
kqw.c,,safe,false,,,,,,Save variant of sdt.c (cylab_academy/buffer_overflow_0.c)
fvl.c,cylab_academy/format-string-0.c,format_string,true,"68, 98",,,,,2 vulnerabilities
rzm.c,,safe,false,,,,,,Save variant of fvl.c (cylab_academy/format-string-0.c)
hkn.c,cylab_academy/format-string-1.c,format_string,true,36,,,,,
nqt.c,,safe,false,,,,,,Save variant of hkn.c (cylab_academy/format-string-1.c)
tob.c,cylab_academy/format-string-2.c,format_string,true,14,,,,,
gxy.c,,safe,false,,,,,,Save variant of tob.c (cylab_academy/format-string-2.c)
pmz.c,cylab_academy/format-string-3.c,format_string,true,26,,,,,
cwr.c,,safe,false,,,,,,Save variant of pmz.c (cylab_academy/format-string-3.c)
elk.c,cylab_academy/echo_escape_1.c,stack_overflow,true,28,,,,,
uvj.c,,safe,false,,,,,,Save variant of elk.c (cylab_academy/echo_escape_1.c)
isp.c,overthewire/narnia0.c,stack_overflow,true,11,,,,,
adn.c,,safe,false,,,,,,Save variant of isp.c (overthewire/narnia0.c)
sbq.c,fastbin_reverse_into_tcache.c,Use-After-Free,true,65,,,,,
ktv.c,,safe,false,,,,,,Save variant of sbq.c (fastbin_reverse_into_tcache.c)
