file_name,GT_Is_Vulnerable,GT_Vuln_Type,GT_Target_Func,LLM_Hypo_Vuln,LLM_Hypo_Target,LLM_Hypo_Correct,Solver_Called,FW_Status,FW_Is_Vulnerable,FW_Vuln_Type,Eval_Args_Count,Result_Category
ovm.c,True,heap_overflow,nan,heap_overflow,main,True,True,error,False,heap_overflow,0,FALSE_NEGATIVE_SOLVER
lqt.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
swp.c,True,format_string,nan,format_string,vuln,True,True,vuln_found,True,format_string,0,TRUE_POSITIVE
kxe.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
dzb.c,True,format_string,nan,format_string,vuln,True,True,vuln_found,True,format_string,0,TRUE_POSITIVE
jmy.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
fnc.c,True,format_string,nan,format_string,vuln,True,True,vuln_found,True,format_string,0,TRUE_POSITIVE
rhl.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
wgs.c,True,format_string,nan,format_string,vuln,True,True,vuln_found,True,format_string,0,TRUE_POSITIVE
ztp.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
hkv.c,True,format_string,nan,format_string,vuln,True,True,vuln_found,True,format_string,0,TRUE_POSITIVE
nxd.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
tqm.c,True,heap_overflow,nan,heap_overflow,write_buffer,True,True,vuln_found,True,heap_overflow,0,TRUE_POSITIVE
gbo.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
pyr.c,True,heap_overflow,nan,heap_overflow,write_buffer,True,True,vuln_found,True,heap_overflow,0,TRUE_POSITIVE
cwl.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
ejk.c,True,heap_overflow,nan,heap_overflow,write_buffer,True,True,vuln_found,True,heap_overflow,0,TRUE_POSITIVE
usz.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
ivp.c,True,heap_overflow,nan,heap_overflow,alloc_object,True,True,vuln_found,True,heap_overflow,0,TRUE_POSITIVE
ahm.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
sdt.c,True,stack_overflow,nan,stack_overflow,vuln,True,True,vuln_found,True,stack_overflow,0,TRUE_POSITIVE
kqw.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
fvl.c,True,format_string,nan,format_string,serve_patrick,True,True,vuln_found,True,format_string,0,TRUE_POSITIVE
rzm.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
hkn.c,True,format_string,nan,format_string,main,True,True,vuln_found,True,format_string,0,TRUE_POSITIVE
nqt.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
tob.c,True,format_string,nan,format_string,main,True,True,vuln_found,True,format_string,0,TRUE_POSITIVE
gxy.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
pmz.c,True,format_string,nan,format_string,main,True,True,no_vuln_found,False,format_string,0,FALSE_NEGATIVE_SOLVER
cwr.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
elk.c,True,stack_overflow,nan,stack_overflow,main,True,True,vuln_found,True,stack_overflow,0,TRUE_POSITIVE
uvj.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
isp.c,True,stack_overflow,nan,stack_overflow,main,True,True,no_vuln_found,False,stack_overflow,0,FALSE_NEGATIVE_SOLVER
adn.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
ohm.c,True,Use-After-Free,nan,none,none,False,False,no_solver_call,False,none,0,FALSE_NEGATIVE_LLM
sbq.c,True,Use-After-Free,nan,none,none,False,False,no_solver_call,False,none,0,FALSE_NEGATIVE_LLM
ktv.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
